"bapak","5","Bahasa Batak Simalungun","Sumatera Utara"
"barang","5","Bahasa Batak Simalungun","Sumatera Utara"
"barangkali","5","Bahasa Batak Simalungun","Sumatera Utara"
"basi","5","Bahasa Batak Simalungun","Sumatera Utara"
"batuk","5","Bahasa Batak Simalungun","Sumatera Utara"
"bau","5","Bahasa Batak Simalungun","Sumatera Utara"
"bawah","5","Bahasa Batak Simalungun","Sumatera Utara"
"Bawang Merah","5","Bahasa Batak Simalungun","Sumatera Utara"
"Bawang Putih","5","Bahasa Batak Simalungun","Sumatera Utara"
"bayi","5","Bahasa Batak Simalungun","Sumatera Utara"
"beban","5","Bahasa Batak Simalungun","Sumatera Utara"
"bebas","5","Bahasa Batak Simalungun","Sumatera Utara"
"bekerja","5","Bahasa Batak Simalungun","Sumatera Utara"
"belajar","5","Bahasa Batak Simalungun","Sumatera Utara"
"belalang","5","Bahasa Batak Simalungun","Sumatera Utara"
"belanja","5","Bahasa Batak Simalungun","Sumatera Utara"
"belasan","5","Bahasa Batak Simalungun","Sumatera Utara"
"beli","5","Bahasa Batak Simalungun","Sumatera Utara"
"belum","5","Bahasa Batak Simalungun","Sumatera Utara"
"bencana","5","Bahasa Batak Simalungun","Sumatera Utara"
"benda","5","Bahasa Batak Simalungun","Sumatera Utara"
"bendera","5","Bahasa Batak Simalungun","Sumatera Utara"
"benih","5","Bahasa Batak Simalungun","Sumatera Utara"
"bentuk","5","Bahasa Batak Simalungun","Sumatera Utara"
"beradu","5","Bahasa Batak Simalungun","Sumatera Utara"
"beragam","5","Bahasa Batak Simalungun","Sumatera Utara"
"berair","5","Bahasa Batak Simalungun","Sumatera Utara"
"beraksi","5","Bahasa Batak Simalungun","Sumatera Utara"
"berang-berang","5","Bahasa Batak Simalungun","Sumatera Utara"
"berani","5","Bahasa Batak Simalungun","Sumatera Utara"
"berantakan","5","Bahasa Batak Simalungun","Sumatera Utara"
"berapa","5","Bahasa Batak Simalungun","Sumatera Utara"
