"bawah","5","Bahasa Banjar","Kalimantan Selatan"
"Bawang Merah","5","Bahasa Banjar","Kalimantan Selatan"
"Bawang Putih","5","Bahasa Banjar","Kalimantan Selatan"
"bayi","5","Bahasa Banjar","Kalimantan Selatan"
"beban","5","Bahasa Banjar","Kalimantan Selatan"
"bebas","5","Bahasa Banjar","Kalimantan Selatan"
"bekerja","5","Bahasa Banjar","Kalimantan Selatan"
"belajar","5","Bahasa Banjar","Kalimantan Selatan"
"belalang","5","Bahasa Banjar","Kalimantan Selatan"
"belanja","5","Bahasa Banjar","Kalimantan Selatan"
"belasan","5","Bahasa Banjar","Kalimantan Selatan"
"beli","5","Bahasa Banjar","Kalimantan Selatan"
"belum","5","Bahasa Banjar","Kalimantan Selatan"
"bencana","5","Bahasa Banjar","Kalimantan Selatan"
"benda","5","Bahasa Banjar","Kalimantan Selatan"
"bendera","5","Bahasa Banjar","Kalimantan Selatan"
"benih","5","Bahasa Banjar","Kalimantan Selatan"
"bentuk","5","Bahasa Banjar","Kalimantan Selatan"
"beradu","5","Bahasa Banjar","Kalimantan Selatan"
"beragam","5","Bahasa Banjar","Kalimantan Selatan"
"berair","5","Bahasa Banjar","Kalimantan Selatan"
"beraksi","5","Bahasa Banjar","Kalimantan Selatan"
"berang-berang","5","Bahasa Banjar","Kalimantan Selatan"
"berani","5","Bahasa Banjar","Kalimantan Selatan"
"berantakan","5","Bahasa Banjar","Kalimantan Selatan"
"berapa","5","Bahasa Banjar","Kalimantan Selatan"
"berapi","5","Bahasa Banjar","Kalimantan Selatan"
"berarti","5","Bahasa Banjar","Kalimantan Selatan"
"beras","5","Bahasa Banjar","Kalimantan Selatan"
"berat","5","Bahasa Banjar","Kalimantan Selatan"
"berayun","5","Bahasa Banjar","Kalimantan Selatan"
"berbagai","5","Bahasa Banjar","Kalimantan Selatan"
"berbagi","5","Bahasa Banjar","Kalimantan Selatan"
"berbahaya","5","Bahasa Banjar","Kalimantan Selatan"
"berbakti","5","Bahasa Banjar","Kalimantan Selatan"
"berbantah","5","Bahasa Banjar","Kalimantan Selatan"
"berbantahan","5","Bahasa Banjar","Kalimantan Selatan"
"berbarengan","5","Bahasa Banjar","Kalimantan Selatan"
"berbekal","5","Bahasa Banjar","Kalimantan Selatan"
"berbisnis","5","Bahasa Banjar","Kalimantan Selatan"
"berburu","5","Bahasa Banjar","Kalimantan Selatan"
"bercakap","5","Bahasa Banjar","Kalimantan Selatan"
"berceceran","5","Bahasa Banjar","Kalimantan Selatan"
"bercengkrama","5","Bahasa Banjar","Kalimantan Selatan"
"bercerai","5","Bahasa Banjar","Kalimantan Selatan"
"bercermin","5","Bahasa Banjar","Kalimantan Selatan"
"bercocok tanam","5","Bahasa Banjar","Kalimantan Selatan"
"berdasar","5","Bahasa Banjar","Kalimantan Selatan"
"berdecak","5","Bahasa Banjar","Kalimantan Selatan"
"berdekatan","5","Bahasa Banjar","Kalimantan Selatan"
"berdering","5","Bahasa Banjar","Kalimantan Selatan"
"berdikari","5","Bahasa Banjar","Kalimantan Selatan"
"berdiri","5","Bahasa Banjar","Kalimantan Selatan"
"berdua","5","Bahasa Banjar","Kalimantan Selatan"
"berduaan","5","Bahasa Banjar","Kalimantan Selatan"
"beres","5","Bahasa Banjar","Kalimantan Selatan"
"berfikir","5","Bahasa Banjar","Kalimantan Selatan"
"berganti","5","Bahasa Banjar","Kalimantan Selatan"
"bergelar","5","Bahasa Banjar","Kalimantan Selatan"
